filename,original_path,doc_kind,extraction_status,proposed_bucket,reason
New Bitmap Image.bmp,4. Resolutions\20210526 Shareholder Resolutions LAT LTIP\Mercer Report\New Bitmap Image.bmp,shareholder_document,ocr_required,03_Board_and_IC,kind:shareholder_document
20210603 LAT LTIP Resolutions.pdf,4. Resolutions\20210603 LAT LTIP Resolutions.pdf,resolution,extracted_text,03_Board_and_IC,name:'resolution'
1. Appendix 1 - listed plc articles.pdf,4. Resolutions\20210804 Shareholder Resolutions Pre-listing\1. Appendix 1 - listed plc articles.pdf,shareholder_document,extracted_text,04_Legal_and_Closing,name:'articles'
1. Appendix 2 - summary of plc share plans.pdf,4. Resolutions\20210804 Shareholder Resolutions Pre-listing\1. Appendix 2 - summary of plc share plans.pdf,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
1. Appendix to Annex 3 - draft interim plc articles.pdf,4. Resolutions\20210804 Shareholder Resolutions Pre-listing\1. Appendix to Annex 3 - draft interim plc articles.pdf,shareholder_document,extracted_text,04_Legal_and_Closing,name:'articles'
1. Shareholder resolutions - G42 Investments AI Holding RSC Limited.pdf,4. Resolutions\20210804 Shareholder Resolutions Pre-listing\1. Shareholder resolutions - G42 Investments AI Holding RSC Limited.pdf,shareholder_document,extracted_text,03_Board_and_IC,name:'resolution'
1.1 CEF Template.docx,4. Resolutions\20210804 Shareholder Resolutions Pre-listing\1.1 CEF Template.docx,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
2. Annex 2 - form of lockup deed.pdf,4. Resolutions\20210804 Shareholder Resolutions Pre-listing\2. Annex 2 - form of lockup deed.pdf,shareholder_document,extracted_text,10_Exit_and_Public_Markets,name:'lockup'
Amendments to existing share plans.pdf,4. Resolutions\Amendments to existing share plans.pdf,resolution,extracted_text,03_Board_and_IC,kind:resolution
ONT Share Option Scheme Rules 2018.pdf,4. Resolutions\ONT Share Option Scheme Rules 2018.pdf,resolution,extracted_text,03_Board_and_IC,kind:resolution
ONT Share Option Scheme Rules.pdf,4. Resolutions\ONT Share Option Scheme Rules.pdf,resolution,extracted_text,03_Board_and_IC,kind:resolution
ONT shareholder letter 29Mar21 G42 Investments AI Holding RSC Limited.pdf,4. Resolutions\ONT shareholder letter 29Mar21 G42 Investments AI Holding RSC Limited.pdf,shareholder_document,extracted_text,03_Board_and_IC,kind:shareholder_document
ONT AGM Notice.pdf,6. AGM - Jun2022\ONT AGM Notice.pdf,unclassified_document,extracted_text,09_Corporate_Actions_and_AGM,name:'agm'
ONT Annual Report and Accounts 2021.pdf,6. AGM - Jun2022\ONT Annual Report and Accounts 2021.pdf,unclassified_document,extracted_text,07_Monitoring_and_Financials,name:'annual report'
ONT Form of Proxy 2022.pdf,6. AGM - Jun2022\ONT Form of Proxy 2022.pdf,unclassified_document,extracted_text,09_Corporate_Actions_and_AGM,folder-hint:'agm'
ONT Remuneration Report.pdf,6. AGM - Jun2022\ONT Remuneration Report.pdf,unclassified_document,extracted_text,09_Corporate_Actions_and_AGM,folder-hint:'agm'
Oxford Nanopore - Investment Summary (October 2021).docx,6. AGM - Jun2022\Oxford Nanopore - Investment Summary (October 2021).docx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'investment summary'
Final AGM Notice.pdf,7. AGM - Jun 2023\Final AGM Notice.pdf,unclassified_document,extracted_text,09_Corporate_Actions_and_AGM,name:'agm'
Final Annual Report.pdf,7. AGM - Jun 2023\Final Annual Report.pdf,unclassified_document,extracted_text,07_Monitoring_and_Financials,name:'annual report'
Vote Confirmation 06Jun23.pdf,7. AGM - Jun 2023\Vote Confirmation 06Jun23.pdf,unclassified_document,extracted_text,09_Corporate_Actions_and_AGM,folder-hint:'agm'
ont-ar24-nom-25-04-23-final.pdf,8. AGM - Jun 2024\ont-ar24-nom-25-04-23-final.pdf,unclassified_document,extracted_text,09_Corporate_Actions_and_AGM,folder-hint:'agm'
BofA - Oxford Nanopore Technologies.pdf,BofA - Oxford Nanopore Technologies.pdf,unclassified_document,extracted_text,11_Correspondence_and_Other,default
1.1_Company Overview presentation 12 March 2021.pdf,Data Room Downloads\Investor Relations\1.1_Company Overview presentation 12 March 2021.pdf,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'presentation'
10.1_Cap table.pdf,Data Room Downloads\Investor Relations\10.1_Cap table.pdf,cap_table,extracted_text,05_Capitalization_and_Securities,name:'cap table'
31-12-2019 ONT Accounts.pdf,Data Room Downloads\Investor Relations\31-12-2019 ONT Accounts.pdf,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
4.2_ONT Corporate Structure March 2021.pdf,Data Room Downloads\Investor Relations\4.2_ONT Corporate Structure March 2021.pdf,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
9.2.1_Management Accounts Full Year 2020 (unaudited).pdf,Data Room Downloads\Investor Relations\9.2.1_Management Accounts Full Year 2020 (unaudited).pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
9.3.1_ONT - Investor Revenue Forecast 8 March 2021 vF confidential.xlsx,Data Room Downloads\Investor Relations\9.3.1_ONT - Investor Revenue Forecast 8 March 2021 vF confidential.xlsx,unclassified_document,extracted_text,02_Due_Diligence,folder-hint:'data room'
